CASE_NO,ACCD_TP,Sub_bur,Eve_time,YEAR,MONTH,HOUR,Two_HOUR,Three_HOUR,WEEKDAY,Distr,Num_casual,Num_wound,Weather,Light_condition,Road_category,Speed_limit,Road_type,Acc_location,Pavement_con,Signal_classfication,Accident_type,Sex,AGE,Protect_equip,Mobile,Car_type,Move_type,Qualified,Alcohol
CD114147,2,CD,10208131640,102,8,16,9,6,2,112,0,4,3,1,2,50,2,5,2,4,12,1,3,3,4,6,9,1,1
CD114147,2,CD,10208131640,102,8,16,9,6,2,112,0,4,3,1,2,50,2,5,2,4,12,2,3,3,4,6,9,1,1
CD114147,2,CD,10208131640,102,8,16,9,6,2,112,0,4,3,1,2,50,2,5,2,4,12,1,6,4,3,8,20,3,1
CG139367,2,CG,10205172342,102,5,23,12,8,5,114,0,1,2,2,2,50,2,4,1,4,17,1,5,1,1,6,9,1,1
C7148114,2,C7,10207291430,102,7,14,8,5,1,104,0,1,3,1,2,50,1,1,2,4,17,2,3,1,1,6,9,1,1
C5126846,2,C5,10208011350,102,8,13,7,5,4,103,0,1,3,1,2,50,1,1,2,1,12,2,3,3,4,6,9,1,1
CC139428,2,CC,10207271238,102,7,12,7,5,6,111,0,1,3,1,2,40,1,1,2,4,12,1,3,1,1,6,9,1,1
C7148484,2,C7,10208010826,102,8,8,5,3,4,104,0,1,3,1,2,40,4,4,2,4,11,2,7,3,4,6,9,1,1
C7148373,2,C7,10208010805,102,8,8,5,3,4,104,0,1,3,1,2,50,2,4,2,4,12,1,3,1,1,6,9,1,1
CC116866,2,CC,10208011640,102,8,16,9,6,4,111,0,1,3,1,2,50,1,2,2,2,9,1,4,1,1,2,6,1,1
CC116866,2,CC,10208011640,102,8,16,9,6,4,111,0,1,3,1,2,50,1,2,2,2,9,2,6,4,3,8,20,3,2
C7147835,2,C7,10208011050,102,8,10,6,4,4,104,0,1,3,1,2,50,1,1,2,1,17,2,3,1,1,6,9,1,1
CH113417,2,CH,10207291810,102,7,18,10,7,1,115,0,2,3,2,2,50,4,6,2,4,9,2,4,1,1,6,9,1,1
C7147835,2,C7,10208011050,102,8,10,6,4,4,104,0,1,3,1,2,50,1,1,2,1,17,1,6,1,1,4,9,1,1
C6116129,2,C6,10208011845,102,8,18,10,7,4,108,0,1,3,2,2,40,2,5,2,4,17,1,4,1,1,6,9,1,1
C5130648,2,C5,10208011930,102,8,19,10,7,4,103,0,1,3,2,2,40,1,1,2,1,17,1,3,3,4,6,5,1,1
C5130648,2,C5,10208011930,102,8,19,10,7,4,103,0,1,3,2,2,40,1,1,2,1,17,1,7,3,4,6,9,1,1
CC138061,2,CC,10207282115,102,7,21,11,8,7,111,0,1,3,2,2,50,1,1,2,2,16,2,6,1,1,6,9,1,1
CC138061,2,CC,10207282115,102,7,21,11,8,7,111,0,1,3,2,2,50,1,1,2,2,16,2,3,1,1,6,9,1,1
CI129233,2,CI,10208011920,102,8,19,10,7,4,110,0,1,3,2,2,50,2,2,2,4,12,2,4,1,1,6,9,1,1
C7147020,2,C7,10208012206,102,8,22,12,8,4,104,0,1,3,2,2,50,4,4,2,4,17,2,3,1,1,6,9,1,1
C7148123,2,C7,10208012314,102,8,23,12,8,4,104,0,3,2,2,2,50,1,1,1,4,17,1,3,1,1,6,9,2,1
C7148123,2,C7,10208012314,102,8,23,12,8,4,104,0,3,2,2,2,50,1,1,1,4,17,1,4,4,3,8,20,3,2
C7147020,2,C7,10208012206,102,8,22,12,8,4,104,0,1,3,2,2,50,4,4,2,4,17,1,4,1,1,6,9,1,1
C9120040,2,C9,10208020045,102,8,0,1,1,5,100,0,1,2,2,2,50,1,1,2,1,17,1,3,1,1,3,9,1,1
